expiry,strike,type,bid_usd,ask_usd,mid_usd,underlying,mark_iv,valuation
2026-12-25T08:00:00+00:00,20000.0,P,89.51168799999999,115.086456,102.299072,63936.92,84.92,2026-07-31T16:24:21.479000+00:00
2026-08-21T08:00:00+00:00,70000.0,P,7025.778905,7340.836255,7183.307580000001,63011.47,31.24,2026-07-31T16:24:21.479000+00:00
2026-10-30T08:00:00+00:00,74000.0,C,1301.9816500000002,1365.49295,1333.7373000000002,63511.3,36.01,2026-07-31T16:24:21.479000+00:00
2026-08-02T08:00:00+00:00,72000.0,P,6727.82723,11726.539985,9227.1836075,62876.89,47.92,2026-07-31T16:24:21.479000+00:00
2026-08-28T08:00:00+00:00,46000.0,P,56.758446,69.37143400000001,63.06494000000001,63064.94,55.97,2026-07-31T16:24:21.479000+00:00
2027-06-25T08:00:00+00:00,80000.0,C,5353.87594,5484.45828,5419.16711,65291.17,41.47,2026-07-31T16:24:21.479000+00:00
2026-08-02T08:00:00+00:00,65500.0,P,817.3995699999999,5030.1512,2923.775385,62876.89,31.21,2026-07-31T16:24:21.479000+00:00
2027-03-26T08:00:00+00:00,140000.0,C,193.77441000000002,232.529292,213.151851,64591.47,45.37,2026-07-31T16:24:21.479000+00:00
2026-08-07T08:00:00+00:00,67000.0,C,94.37928,113.255136,103.817208,62919.52,33.31,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,62000.0,C,7384.586055,7512.457675,7448.521865,63935.81,40.51,2026-07-31T16:24:21.479000+00:00
2026-10-30T08:00:00+00:00,71000.0,P,9336.1611,9621.96195,9479.061525,63511.3,36.11,2026-07-31T16:24:21.479000+00:00
2027-06-25T08:00:00+00:00,82000.0,C,4896.83775,5027.42009,4962.12892,65291.17,41.37,2026-07-31T16:24:21.479000+00:00
2027-06-25T08:00:00+00:00,110000.0,C,1436.38176,1534.31688,1485.34932,65290.08,42.03,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,30000.0,C,33228.4785,33386.70935,33307.593925,63292.34,80.9,2026-07-31T16:24:21.479000+00:00
2026-08-04T08:00:00+00:00,62000.0,C,1226.3109299999999,1352.08641,1289.19867,62887.74,30.52,2026-07-31T16:24:21.479000+00:00
2026-08-21T08:00:00+00:00,53000.0,P,151.224864,163.826936,157.5259,63010.36,46.38,2026-07-31T16:24:21.479000+00:00
2027-06-25T08:00:00+00:00,85000.0,P,23896.568219999997,24288.31524,24092.44173,65291.17,41.35,2026-07-31T16:24:21.479000+00:00
2027-03-26T08:00:00+00:00,108000.0,C,710.51838,775.1109600000001,742.81467,64592.58,41.46,2026-07-31T16:24:21.479000+00:00
2026-08-14T08:00:00+00:00,70000.0,C,62.96146,81.849898,72.40567899999999,62961.46,32.06,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,60000.0,C,8503.46273,8663.302255,8583.3824925,63935.81,41.09,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,190000.0,P,120320.84844999999,133707.413125,127014.13078749998,63293.45,72.81,2026-07-31T16:24:21.479000+00:00
